filename,author,gender,faction
11000009,Konrad Adenauer,männlich,23
11000028,Walter Althammer,männlich,20
11000038,Gerd Andres,männlich,20
11000043,Hans Apel,männlich,-1
11000044,Walter Arendt,männlich,-1
11000046,Josef Arndgen,männlich,4
11000047,Adolf Arndt,männlich,4
11000057,Karl Atzenroth,männlich,7
11000066,Dietrich Austermann,männlich,7
11000069,Gisela Babel,weiblich,7
11000081,Fritz Baier,männlich,4
11000089,Martin Bangemann,männlich,25
11000102,Rainer Barzel,männlich,25
11000111,Gerhart Rudolf Baum,männlich,4
11000133,Klaus Beckmann,männlich,4
11000134,Angelika Beer,weiblich,13
11000139,Ernst Benda,männlich,13
11000155,Sabine Bergmann-Pohl,weiblich,4
11000158,Karl Wilhelm Berkhan,männlich,25
11000164,Helmut Bertram,männlich,7
11000181,Rudolf Bindig,männlich,7
11000195,Theodor Blank,männlich,7
11000196,Paul Bleiß,männlich,20
11000198,Peter Bleser,männlich,20
11000204,Norbert Blüm,männlich,4
11000221,Rolf Böhme,männlich,21
11000227,Wolfgang Börnsen,männlich,21
11000228,Wolfgang Bötsch,männlich,-1
11000230,Friedrich Bohl,männlich,7
11000233,Jochen Borchert,männlich,-1
11000246,Willy Brandt,männlich,26
11000256,Günther Bredehorn,männlich,23
11000263,Heinrich Brentano,männlich,23
11000265,Paul Breuer,männlich,-1
11000266,Ulrich Briefs,männlich,4
11000288,Ewald Bucher,männlich,23
11000299,Andreas Bülow,männlich,21
11000305,Edelgard Bulmahn,weiblich,26
11000308,Fritz Burgbacher,männlich,7
11000310,Albert Burger,männlich,26
11000315,Hermann Buschfort,männlich,25
11000316,Hermann Busse,männlich,20
11000322,Manfred Carstens,männlich,25
11000325,Marion Caspers-Merk,weiblich,20
11000326,Wolf Michael Catenhusen,männlich,26
11000335,Peter Conradi,männlich,21
11000342,Dieter Julius Cronenberg,männlich,20
11000344,Herbert Czaja,männlich,4
11000347,Herta Däubler-Gmelin,weiblich,-1
11000348,Rolf Dahlgrün,männlich,-1
11000364,Thomas Dehler,männlich,-1
11000365,Jörg Diether Dehm-Desoi,männlich,7
11000367,Heinrich Deist,männlich,7
11000387,Emmy Diemer-Nicolaus,weiblich,7
11000391,Karl Diller,männlich,-1
11000409,Wolfram Dorn,männlich,4
11000418,Alfred Dregger,männlich,-1
11000420,Rudolf Dreßler,männlich,20
11000424,Hermann Dürr,männlich,-1
11000425,Freimut Duve,männlich,4
11000440,Horst Ehmke,männlich,23
11000445,Herbert Ehrenberg,männlich,4
11000449,Maria Eichhorn,weiblich,13
11000454,Ursula Eid-Simon,weiblich,26
11000458,Norbert Eimer,männlich,4
11000468,Alfred Emmerlich,männlich,-1
11000472,Hans A. Engelhard,männlich,-1
11000479,Dagmar Enkelmann,weiblich,23
11000485,Benno Erhard,männlich,20
11000486,Ludwig Erhard,männlich,-1
11000488,Fritz Erler,männlich,20
11000489,Gernot Erler,männlich,20
11000493,Josef Ertl,männlich,-1
11000495,Jörg Essen,männlich,20
11000505,Hans Ewers,männlich,-1
11000508,Horst Eylmann,männlich,26
11000517,Kurt Faltlhauser,männlich,20
11000523,Klaus Dieter Feige,männlich,20
11000530,Olaf Feldmann,männlich,20
11000535,Elke Ferner,weiblich,-1
11000548,Walter Fisch,männlich,23
11000549,Dirk Fischer,männlich,23
11000552,Joseph Fischer,männlich,7
11000557,Ursula Fischer,weiblich,23
11000570,Egon Franke,männlich,-1
11000571,Heinrich Franke,männlich,23
11000576,Heinz Frehsee,männlich,-1
11000586,Hans Friderichs,männlich,4
11000588,Paul K. Friedhoff,männlich,23
11000593,Horst Friedrich,männlich,-1
11000602,Erich G. Fritz,männlich,20
11000611,Anke Fuchs,weiblich,4
11000615,Ruth Fuchs,weiblich,23
11000616,Hans Joachim Fuchtel,männlich,4
11000620,Liselotte Funcke,weiblich,23
11000624,Rainer Funke,männlich,4
11000628,Georg Gallus,männlich,-1
11000631,Norbert Gansel,männlich,4
11000637,Hans H. Gattermann,männlich,7
11000651,Norbert Geis,männlich,25
11000655,Heiner Geißler,männlich,-1
11000656,Wolfgang Geldern,männlich,23
11000661,Hans Dietrich Genscher,männlich,-1
11000671,Johannes Gerster,männlich,20
11000687,Iris Gleicke,weiblich,20
11000690,Eugen Glombig,männlich,4
11000691,Michael Glos,männlich,4
11000692,Peter Glotz,männlich,21
11000697,Reinhard Göhner,männlich,23
11000735,Achim Großmann,männlich,-1
11000737,Josef Grünbeck,männlich,23
11000738,Martin Grüner,männlich,4
11000739,Joachim Grünewald,männlich,-1
11000747,Wilhelm Gülich,männlich,25
11000749,Horst Günther,männlich,7
11000750,Joachim Günther,männlich,20
11000756,Gregor Gysi,männlich,-1
11000757,Dieter Haack,männlich,20
11000760,Ernst Haar,männlich,20
11000771,Hans Joachim Hacker,männlich,-1
11000774,Hansjörg Häfele,männlich,25
11000775,Gerald Häfner,männlich,25
11000776,Karl Haehser,männlich,25
11000793,Hildegard Hamm-Brücher,weiblich,26
11000815,Liesel Hartenstein,weiblich,4
11000825,Gerda Hasselfeldt,weiblich,7
11000828,Volker Hauff,männlich,-1
11000832,Hansgeorg Hauser,männlich,13
11000836,Helmut Haussmann,männlich,26
11000851,Ulrich Heinrich,männlich,4
11000860,Fritz Hellwig,männlich,7
11000883,Hans Hermsdorf,männlich,20
11000884,Karl Herold,männlich,25
11000891,Uwe Jens Heuer,männlich,26
11000897,Günther Heyenn,männlich,-1
11000906,Ernst Hinsken,männlich,4
11000907,Peter Hintze,männlich,20
11000908,Burkhard Hirsch,männlich,20
11000912,Hermann Höcherl,männlich,-1
11000921,Barbara Höll,weiblich,4
11000922,Friedrich Hölscher,männlich,7
11000926,Stefan Höpfinger,männlich,-1
11000935,Klaus Jürgen Hoffie,männlich,13
11000952,Birgit Homburger,weiblich,26
11000955,Hans Günter Hoppe,männlich,4
11000957,Michael Horlacher,männlich,7
11000959,Peter Horn,männlich,20
11000967,Werner Hoyer,männlich,25
11000968,Antje Huber,weiblich,26
11000996,Ulrich Irmer,männlich,-1
11001000,Werner Jacobi,männlich,4
11001006,Richard Jaeger,männlich,20
11001012,Gerhard Jahn,männlich,20
11001022,Horst Jaunich,männlich,-1
11001023,Ulla Jelpke,weiblich,20
11001026,Uwe Jens,männlich,25
11001038,Kurt Jung,männlich,7
11001055,Bartholomäus Kalb,männlich,7
11001058,Margot Kalinke,weiblich,26
11001062,Steffen Kampeter,männlich,-1
11001064,Dietmar Kansy,männlich,23
